Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
Omnify Software,https://www.crunchbase.com/organization/omnify-software,2002-10-01,day,11-50,"Omnify Software provides product life cycle management (PLM) solutions that are easy to use and configure.  Installations include VC funded start-ups, small business and mid sized companies. The software products are applicable for workgroups of 3-20 users and enterprises of 50 - 2500 users.  Empower Suite PLM solutions are the backbone for new product development teams, manufacturing operations and quality and compliance operations. The collaboration, workflow engine, and project management tools are enterprise class products capable of supporting work groups, off-site teams, global engineering operations, subsidiaries and off-shore manufacturing operations.   Key functionality includes: Real-time Dashboards, Managing Product Master Records, Parts, Document Management, Bill of Materials (BOMs), Parts, Change Control, BOM redlining, Effectivity, Supply Chain and Vendor management, Manufacturing Process Management, Manufacturing Instructions, Quality, CAPA, CARS, SCARS, Compliance, ISO 9001, ISO 13485, 21CFR PART11, 820, ISO 16949. The Omnify team were the first to deliver Business Ready PLM which includes on-premise, public and hybrid cloud based deployments. The architecture supports out of the box configurations as well as highly configurable and customizable solutions based on user and enterprise level requirements. Corporate headquarters are based in Tewksbury MA. Offices in Silicon Valley, UK, Netherlands, Sweden,",https://www.arenasolutions.com,"Collaboration, Document Management, Enterprise Software, Manufacturing, Software","Tewksbury, Massachusetts, United States",Omnify Software is a leading provider of business-ready Product Lifecycle Management.,"456,225",,,,,,,,,,,,
Tiki Wiki CMS Groupware,https://www.crunchbase.com/organization/tiki-wiki-cms-groupware,2002-10-09,day,51-100,"Tiki Wiki CMS Groupware is a full-featured, web-based, multilingual (40+ languages), tightly integrated, all-in-one Wiki+CMS+Groupware, Free Source Software (GNU/LGPL), using PHP, MySQL, Zend Framework, jQuery and Smarty. Tiki can be used to create all kinds of Web applications, sites, portals, knowledge base, intranets, and extranets. It is actively developed by a very large international community and is the Open Source Web Application with the most built-in features. Highly configurable and modular, all features are optional and administered via a web-based interface.  Major features include a robust wiki engine, news articles, discussion forums, newsletters, blogs, file and image galleries, bug and issue trackers (form generator), a links directory, polls/surveys and quizzes, banner management system, calendar, maps, mobile , RSS feeds, category system, tags, an advanced themeing engine (Smarty), spreadsheet, slideshow, drawing, live support, shoutbox, inter-user messaging, menu generator, advanced permission system for users and groups, internal search engine, external authentication support, and much, much more. It integrates with the open source web conferencing BigBlueBlueButton.org for audio/video/chat/screensharing and whiteboard support.",http://tiki.org,"Collaboration, Developer Tools, Internet, Publishing, Software","Manchester, New Hampshire, United States",Tiki Wiki CMS Groupware is a free Open Source web application platform.,"459,685","131,153","101,283.17",-55.06%,-35.71%,747,2.38,71.78%,46.09%,-41.64%,"457,146","201,647",78.92%
Knovos,https://www.crunchbase.com/organization/knovos,2002-10-18,day,251-500,"Founded in 2002 in the greater Washington, D.C., metro area, Knovos is an innovative technology provider with a focus on eDiscovery and Information Governance & Compliance. As an industry pioneer, Knovos has been delivering solutions to Law Firms, Corporations, and Government Agencies for the past 15 years, their key offerings in areas such as Information Governance & Compliance, eDiscovery, Project Management, Virtual Secure Data Rooms & Collaboration, and Performance Management. Backed by unparalleled engineering, Knovos builds each product to be competitive in an ever-evolving technological world – their products are highly secure, fast, flexible, and reliable. As a technology provider, they are not only committed to the quality of their products, but are equally committed to the quality of their support. They believe that their Partners’ success depends on it, and are dedicated to instilling within them the knowledge and confidence they need to thrive. ",https://www.knovos.com/,"Big Data, Collaboration, Compliance, Document Management, Information Technology, Legal, Legal Tech, Project Management, Software","Fairfax, Virginia, United States",Knovos is committed to providing leading technology in eDiscovery and Information Governance & Compliance.,"180,726","360,050","98,418.67",60.1%,-16.82%,"1,014",1.89,-4.9%,34.21%,-6.68%,"229,043","-76,627",-25.07%
Hub Culture,https://www.crunchbase.com/organization/hub-culture,2002-11-01,day,11-50,"Hub Culture is a global collaboration service anchored by the Ven digital currency.  The company operates physical locations  trading in Ven and manages a micropayment platform for content, groups, products, services and events. Hub Culture is a leader in P2P exchange, commodity trading, M2M/AI exchange and virtual financial services. It was founded in November 2002. The Hub Culture group of companies is privately held with offices in Bermuda, Geneva, Hong Kong, London, San Francisco and New York. Dedicated representatives are in over 60 locations worldwide. The site has been noted in the Wall Street Journal, New York Times, Wired, PSFK, Harvard Business Review, CNNMoney, Forbes, WSJ, Finextra, Bloomberg and other financial media. In 2008, Hub Culture began developing Pavilions, member based workspaces in key cities offering coworking, concierge and consulting services, meeting space, and online collaboration tools on an internet based technology platform. Hub Culture Pavilions, both temporary and permanent, have appeared in London, Copenhagen, Cannes, Beijing, New York City, Los Angeles, Ibiza, Rio de Janeiro, Durban, Ho Chi Minh City, Cancun and other locations.  As of July 2013, Hub Culture lists over 25,000 members and has exchanged over 20 million units of Ven. The currency is priced from a basket of currencies, commodities and carbon, and floats against other major currencies at floating exchange rates. In a partnership with Thomson Reuters, Ven became the first virtual currency available in the financial markets, with realtime exchange rates available on <.VEN> on over 500,000 trading terminals worldwide. Ven first appeared as an application in Facebook on 4 July, 2007.  In late 2008, the Ven became available to anyone with an email address, making it the first global digital currency to move from an online social network into the real world.  In November 2009, Ven expanded as an online micropayment platform for content and group subscriptions, creating a new economic model for online paid journalism with single click micropayment options down to the fraction of a cent, and earn/pay options that can be used for multiple content forms.  By the end of 2009 hundreds of services and items (ranging from private jet service to juice) were available in Ven at Hub Culture Pavilions - the first physical locations in the world to operate entirely on a virtual currency. In 2010 Ven added Carbon to its basket components, alongside multiple currencies and commodities, making it the first green currency, with a theoretical carbon offset attached to each transaction.  Its stability in the international markets has made Ven an attractive pricing option in the commodities sector, where physical trades for goods priced in Ven are now taking place on a bespoke exchange platform created by the company.  By 2012, Ven had expanded into the first virtual currency funds focused on commodities, micro-finance, equity stake vehicles and P2P exchange.",https://hubculture.com,"Collaboration, FinTech, Identity Management, Knowledge Management, Professional Networking, Real Estate, Social Media, Virtual Currency","London, England, United Kingdom","Hub Culture is a global collaboration platform focused on digital currency and identity, knowledge brokerage and community services.","214,330","22,806","25,560.5",29.51%,431.37%,0,1.69,1.52%,30.81%,-7.56%,"1,412,611","-185,042",-11.58%
Influxis,https://www.crunchbase.com/organization/influxis,2002-11-01,day,11-50,"As one of the first streaming companies over a decade ago, we knew what mattered the most - our customers. Now, thousands of customers later, our goal remains the same: Providing the best streaming solutions for our customers. We understand it’s not the technology itself that makes the difference, but our team of streaming experts who genuinely care about you. The world’s most innovative agencies trust us with their streaming challenges, and this is what drives us. With our unique interactive streaming platform, redundant global network and personalized support, our passion is turning “impossible” into pure streaming joy. Expert streaming solutions using real-time collaborative technologies, for building and hosting custom cross-platform interactive applications.  We specialize in Adobe Media Server, Wowza Media Server, Node.JS, Union Platform, IoT and WebRTC, and support features such as low latency peer-to-peer (P2P) streaming, encoding and screen sharing.  All plans are contract-free and can be set for monthly, quarterly or annual payments, and use the most advanced server hardware in the world, with datacenters in North America, South America, Europe and Asia.  Professional U.S.-based concierge-style tech support, SLA and free unlimited encoding are included with all plans.",http://influxis.com,"Collaboration, Mobile, Robotics, SaaS, Video, Video Chat, Video Conferencing, Video on Demand, Video Streaming","Valencia, California, United States","Influxis is an interactive streaming platform for video, real-time communication, and IoT applications, with concierge expert support.","393,116",399,,,,0,1,,100%,,"8,722,385",,
Socialtext,https://www.crunchbase.com/organization/socialtext,2002-12-01,day,11-50,"Socialtext is a Bedford Funding portfolio company, was the first company to deliver social software to businesses. By unlocking knowledge, expertise, ideas and data, Socialtext eliminates information silos across the enterprise to drive superior business performance. Socialtext's enterprise social networking products — including microblogging, blogs, wikis, profiles and social spreadsheets — provide simpler ways for employees to share vital information and work together in real-time. Delivered in a variety of hosted cloud services, as well as on-site appliances, enterprise customers are provided with flexible deployment options that meet their security requirements. Built on a flexible, web-oriented architecture, Socialtext integrates with virtually any traditional system of record, such as CRM and ERP, enabling companies to discuss, collaborate, and take action on key business processes. More than 6,500 businesses worldwide have accelerated their business performance with Socialtext, including Getty Images, Symantec, Meredith Corporation, NYU Stern, OSIsoft, and Epitaph Records.",http://www.socialtext.com,"Collaboration, Developer Tools, Enterprise Software, Software","Palo Alto, California, United States",Socialtext is a company that produces enterprise social software via its integrated suite of web-based social apps.,"250,683",,,,,,,,,,,,
OnBoard,https://www.crunchbase.com/organization/passageways,2003-01-01,day,101-250,"OnBoard is a secure board management platform that helps organizations prepare, conduct, and analyze board meetings. It makes board meetings easy. It’s the world’s most intuitive board management software. OnSemble makes employee collaboration easy, an intranet backed with the trust of hundreds of leading financial institutions. OnBoard was founded in 2003 and is based in Indianapolis, Indiana.",https://www.onboardmeetings.com,"Collaboration, Document Management, Meeting Software, Software","Indianapolis, Indiana, United States","OnBoard is a secure board management platform that helps organizations prepare, conduct, and analyze board meetings.","6,749","191,019","96,022.33",238.54%,9.62%,456,2.98,-4.57%,49.13%,20.06%,"354,094","-419,579",-54.23%
Lifesize,https://www.crunchbase.com/organization/lifesize,2003-01-01,year,251-500,"Lifesize is a global innovator of video conferencing, collaboration, and meeting productivity solutions. It combines best-in-class, cloud-based video conferencing services with integrated equipment to help present the business in the best light. Recognized as Frost and Sullivan’s Cloud Video Conferencing Vendor of the Year, Lifesize leads the industry in customer satisfaction with the world’s first 4K video conferencing solution and 4K service architecture. Together with a full suite of integrations and offerings designed for businesses of any size, Lifesize sets a new standard for workplace communication and productivity on a global scale.  The company was founded in 2003 and is headquartered in Austin, Texas.",https://www.lifesize.com/,"Collaboration, Communication Hardware, Enterprise, Software, Telecommunications, Video Conferencing","Austin, Texas, United States","Lifesize is a global innovator of video conferencing, collaboration, and meeting productivity solutions.","16,022","855,378","811,775.83",-1.2%,-9.22%,896,1.95,7.71%,49.43%,-2.22%,"123,258","5,413",4.59%
Zimbra,https://www.crunchbase.com/organization/zimbra,2003-01-01,year,101-250,"Zimbra offers open-source e-mail, address book, calendar, tasks, and collaboration software. The company offers Zimbra Collaboration Server, which provides post-PC email, calendar, and collaboration solutions that solve the challenges faced by organizations mired in legacy communications infrastructure; and Zimbra Desktop, which aggregates information across accounts such as Zimbra, Yahoo Mail, Gmail, and Hotmail. The company was founded in 2003 and is headquartered in Frisco, Texas with additional offices in San Mateo, California; London; Tokyo; Singapore; and Pune, India.",http://zimbra.com,"Collaboration, Email, Open Source, Software, Web Development","Palo Alto, California, United States","Zimbra offers open-source e-mail, address book, calendar, tasks, and collaboration software.","20,578","656,679","576,406.5",22.1%,18.04%,602,1.91,-8.96%,67.12%,-7.07%,"149,502","-17,086",-10.26%
Userful,https://www.crunchbase.com/organization/userful,2003-01-01,year,101-250,"Userful is a visual networking platform for communication and collaboration across the enterprise.  Display any content source anywhere, any time on any networked display or video wall.  Userful's server-centric architecture means one PC or server drives many screens with no need for a player or PC at each display.  By using only off the shelf hardware and the network, Userful eliminates the extra cost of proprietary hardware.   From transportation to telecommunications, from healthcare to hospitality, customers in more than 100 countries have deployed Userful to drive intelligent displays for control rooms, corporate communication, manufacturing productivity, customer engagement, operation efficiency and much much more.",http://www.userful.com,"Collaboration, Content Delivery Network, Enterprise Software, Information Technology, Software, Video, Virtualization","San Ramon, California, United States",Userful is the leading visual networking platform for the enterprise,"27,782","15,712","49,450.83",-73.1%,24.44%,387,1.69,-40.8%,54.08%,-9.55%,"1,734,119","977,522",129.2%
RingCentral,https://www.crunchbase.com/organization/ringcentral,2003-01-01,year,5001-10000,"RingCentral's cloud-based communication and collaboration platform offers a comprehensive set of capabilities that unify voice, business messaging, team collaboration, video conferencing, and online meetings. RingCentral revolutionizes the power of the cloud to help companies across the globe work smarter, radically improving the way businesses partner with customers and co-workers. We offer nimble business communication solutions, used in more than 350,000 organizations worldwide, that rapidly scale as enterprises grow. It’s a capable platform that offers more than VoIP phone service or cloud PBX. We deliver complete unified communications as a service (UCaaS)—the kind of solutions that integrate seamlessly within your current application and framework, without expensive on-premise hardware or hassles. Bridging the divide across multiple devices—including smartphones, tablets, computers, and desk phones—RingCentral solutions provide today’s mobile workforce with the flexible communication tools needed to get the job done right.  RingCentral helps small businesses manage mobile, fax and e-mail communications. Its core product offering includes RingCentral Office, RingCentral Professional and RingCentral Internet Fax, with services provided in the US, Canada and the UK. RingCentral, headquartered in Belmont, CA, is funded by [Sequoia Capital](/financial-organization/sequoia-capital), [Khosla Ventures](/financial-organization/khosla-ventures) and [DAG](/financial-organization/dag-ventures) and was founded in 2003 by [Vlad Shmunis](/person/vlad-shmunis). Products RingCentral Office is a comprehensive Voice over Internet Protocol phone service for small businesses and enterprise companies. This allows customers to connect teams in different locations. RingCentral Office combines a hosted multi-extension business phone system with voice and fax functionality, unlimited calling and pre-configured phones. This allows businesses to connect teams in different locations. RingCentral Glip provides a single, unified team workspace that empowers customers to work, communicate, and collaborate faster and more effectively than ever before. Emails, scattered discussions, and disjointed resources are drastically reduced as teams share conversations, files, tasks, and calendars. Teams, whether internal or external, can collaborate using their favorite devices anytime, anyplace—all within the Glip team workspace. RingCentral Contact Center is an omnichannel, hosted contact center solution that’s easy to deploy, integrate, and scale. This cloud-based contact center solution connects your business to your customers like never before. Your agents get the data and features needed to deliver professional, effective service, while your customers enjoy better communication and faster response times. RingCentral Professional provides customers with a single local or toll free number that connects their existing phone lines as virtual extensions. It is equipped with advanced call forwarding and answering rules. Users can also receive calls, transmit faxes and listen to voicemail online through their RingCentral account. RingCentral Fax is an internet fax product that gives users the ability to send and receive faxes through the Internet, replacing the fax machine. Aside from the ability to transmit documents online, users can also sign and edit their faxes digitally, eliminating the need to print and scan faxes. Users also receive a text and an email message every time a new fax arrives",https://www.ringcentral.com,"Cloud Computing, Collaboration, Enterprise Software, Meeting Software, SaaS, VoIP","Belmont, California, United States",RingCentral is a provider of enterprise cloud communications and collaboration solutions.,"43,895","9,618,094","8,050,880",11.93%,34.61%,"1,089",3.2,10.48%,44.07%,-10.66%,"17,633","-1,766",-9.1%
KoolSpan,https://www.crunchbase.com/organization/koolspan,2003-01-01,year,11-50,"KoolSpan provides robust, cross-platform, end-to-end communication security for the Enterprise and Consumer. KoolSpan’s multiple encryption solutions secure phone calls and messaging on Android, iPhone, and BlackBerry smartphones with an application that is easy to install, manage, and use. KoolSpan’s security and privacy solutions address the growing threat of loss or theft of intellectual property, vital information, and proprietary assets. Customers include government organizations and enterprises in over 60 countries worldwide that span government, financial services, industrial and manufacturing, energy, transportation, healthcare, and others. KoolSpan is FIPS 140-2 validated and has 21 issued patents with dozens more pending. KoolSpan is privately held and based in Bethesda, Md.",https://koolspan.com,"Android, Collaboration, Enterprise Software, Messaging, Mobile, Network Security, Software","Bethesda, Maryland, United States","Koolspan is a mobile communication security that provides voice and messaging encryption solutions for Android, iPhone and BlackBerry.","58,127","7,653","7,092.83",73.77%,20%,0,1,0%,100%,0%,"2,614,919","-982,897",-27.32%
eXo Platform,https://www.crunchbase.com/organization/exo-platform,2003-01-01,year,101-250,"eXo Platform (https://www.exoplatform.com) is an open source social collaboration platform that is highly extensible and based on open standards.  With eXo you can not only build an enterprise social network, but you can also build a website, a social intranet or a community website. Hundreds of large organizations—in sectors ranging from government and financial services to telecom—use eXo products today, as do thousands of enterprises in other sectors through the company’s strategic partnership with Red Hat. eXo operates globally and has offices in the United States, France, Tunisia, Ukraine and Vietnam.",https://www.exoplatform.com,"Collaboration, Content, Enterprise Software, Human Resources, Information Technology, Open Source, Social Media, Software, Unified Communications","San Francisco, California, United States",eXo offers an extensible platform with social tools and enterprise portal functionalities that enable its users to connect and collaborate.,"65,011","22,750","17,396.17",60.35%,188.66%,687,1.49,9.7%,81.62%,-0.6%,"1,414,572","-373,223",-20.88%
LiteScape Technologies,https://www.crunchbase.com/organization/litescape-technologies,2003-01-01,year,11-50,"LiteScape Technologies, Inc. provides unified communications software solutions in the United States. Its products include OnCast, which simplifies and automates collaboration, as well as extends the power of enterprise infrastructure directories, Web conferencing, customer relationship management, office applications, e-mail, and PBXs; CallTrack Pro, which allows legal and professional services firms to automatically associate clientâ€“matters and project codes to inbound and outbound phone calls; Secure Profile Management, which provides personalized access to communications applications and corporate data on Internet protocol phones; and LiteScape SDK, which brings write once and run anywhere to Internet protocol telephony. The company also offers professional and installation services, training, and technical support services. LiteScape Technologies, Inc. has strategic alliances with Cisco, Microsoft, and WebEx.  The company was founded in 2003 and is based in Redwood Shores, California.",http://www.litescape.com,"Collaboration, Enterprise Software, Software, Video Conferencing, VoIP","San Francisco, California, United States",LiteScapeTechnologies provides unified communications solutions enabling enterprises to communicate and collaborate with stakeholders.,"104,306",,,,,,,,,,,,
Ninchat,https://www.crunchbase.com/organization/ninchat,2003-01-01,year,1-10,"Ninchat is a secure white-label chat platform for demanding customers.  We connect with customer´s backend systems and provide them with a flexible end customer communication tools, for example: - 1-1 chat on your website & responsive on mobile site - embedded inside native mobile apps (iOS, Android, WP) - in Facebook  - in ad/banner-networks Our unique angles: - better security, e.g. Ninchat connection encrypted better than most online banks - best statistics in-market with real-time customer satisfaction ratings - multi-channel: internet-everywhere - works also inside native mobile apps, Facebook & online-ad-networks - integrates to customer CRM systems & contact center systems - we focus in large customers: more flexible & agile partner Ninchat customers include for example banks, insurance companies, media and other financial companies.  We are a Finnish company currently raising investment round for expanding our operations internationally.",https://ninchat.com,"Collaboration, CRM, Enterprise Software, Internet, Messaging, SaaS","Helsinki, Southern Finland, Finland",Ninchat - a secure white-label chat platform for demanding large enterprise customers,"119,571","1,788",,70.45%,,0,1,0%,100%,0%,"5,421,884","-1,387,957",-20.38%
LoopUp,https://www.crunchbase.com/organization/loopup,2003-01-01,day,101-250,"LoopUp (LSE AIM: LOOP) is a premium remote meetings solution. Streamlined and intuitive, LoopUp is built for the needs of business users and delivers the quality, security and reliability required in the enterprise. One-click screen sharing and integration with tools business people use every day, like Outlook, make it easy for LoopUp users to collaborate in real time. LoopUp’s award-winning SaaS solution doesn’t overwhelm users with features, and doesn’t require training. Over 2000 enterprises worldwide, including Travelex, Kia Motors America, Planet Hollywood, National Geographic, and Subaru trust LoopUp with their remote meetings. For more information, visit www.loopup.com.",http://loopup.com,"Collaboration, Enterprise Software, Mobile, SaaS, Software","London, England, United Kingdom",LoopUp is a premium remote meetings solution.,"155,918","40,274","44,625.83",59.14%,29.25%,"1,922",2.63,-24.22%,54.16%,18.49%,"990,802","-297,096",-23.07%
TrueConf,https://www.crunchbase.com/organization/trueconf-3,2003-01-01,year,101-250,"Founded in 2003, TrueConf is the largest vendor of enterprise and consumer products and equipment for video conferencing in Eastern Europe.  Our solutions allow anyone to deploy a secure enterprise unified communications system in workplaces, meeting rooms or conference halls in 15 minutes. TrueConf holds meetings on all major platforms: Windows, OS X, Linux, iOS and Android. TrueConf was the first to introduce a range of unique projects to video conferencing market, including developments in the field of 3D video conferencing, scalable video coding algorithms, WebRTC technologies, mobile video conferencing, and gesture-based controls for video conferencing systems. Our solutions support UltraHD 4K video. TrueConf's portfolio includes over 1500 successful deployments for government, education or financial institutions, and SMBs in different fields. The company provides technical sponsorship to a number of nonprofit organizations in organizing and conducting video conferences and online broadcasting.",https://trueconf.com/,"Collaboration, Enterprise Software, Software, Telecommunications, Unified Communications, Video Conferencing","Moscow, Moscow City, Russian Federation","TrueConf provides video conferencing and unified communications systems, applications and services.","250,502","294,104","95,582.5","3,396.24%","2,211.43%","2,427",10.1,374.61%,18.98%,-76.11%,"263,532","-2,135,958",-89.02%
VoIP Logic,https://www.crunchbase.com/organization/voip-logic,2003-01-01,year,11-50,"VoIP Logic is a global provider of Voice over-Internet Protocol (VoIP) Managed Services and the creator of CortexÂ® OSS for multi-system provisioning and management. The Company is focused on deploying, integrating and managing next-generation communications technology. As such, they pride themselves on 100% carrier and service provider neutrality.",http://www.voiplogic.com,"Collaboration, Delivery Service, Service Industry, Web Hosting","Williamstown, Massachusetts, United States","VoIP Logic is a global provider of VoIP managed services, and provisioning and management systems.","291,308",,,,,,,,,,,,
Healthcare Locums,https://www.crunchbase.com/organization/healthcare-locums,2003-01-01,year,101-250,"Healthcare Locums is provider of temporary and permanent health and social care professionals to the public and private sectors. Working in partnership with clients we place more than 2,000 fully compliant professionals every week. Our commitment to compliancy is reflected by our recent audit results. HCL is focussed on delivering value for money, high candidate and service quality, and innovative solutions that underpin safe, efficient patient care. Our commitment to our clients and candidates is equally matched by our commitment to our own corporate staff with investment in our in-house talent pool. HCL’s values of sustainability, integrity, collaboration, innovation and excellence is built into everything we do allowing us to invest in our staff to help them reach their full potential.",http://www.hclworkforce.com/,"Collaboration, Health Care, Human Resources, Innovation Management, Nursing and Residential Care, Recruiting, Staffing Agency","London, England, United Kingdom",Healthcare Locums is provider of temporary and permanent health and social care professionals to the public and private sectors.,"312,353","10,285","9,408.5",10.56%,708.1%,"1,697",2.46,-6.63%,24.66%,-60.98%,"2,199,669","-69,070",-3.04%
TK20,https://www.crunchbase.com/organization/tk20,2003-01-01,year,51-100,"Tk20 was founded by experts in enterprise management in collaboration with senior university administrators and professors to create an integrated, assessment, planning and reporting systems. We understand education—and we understand state-of-the-art computing. That’s why our customers repeatedly report that we offer the most complete assessment, planning, and reporting solution for colleges and universities available today. Based on more than a decade of experience, Tk20, Inc. offers assessment solutions to help foster a culture of evidence at institutions in the United States and abroad. Some of our premiere features include:  • Expert assessment professionals  • Skillful software design approaches for ease of navigation  • Customizable tabular interface tailored to meet the needs of the institution  • Integrated planning and budgeting that reflect holistic planning processes  • Comprehensive and customized reporting  • Field Experience/Practicum Management for assignments and external evaluation  • Streamlined data collection for data driven decision making  • Complimentary webinars and newsletters to support the higher education assessment community  • Partnership with IMS Global Learning Consortium and EDUCAUSE  Learn more about why many institutions partner with Tk20 for their assessment and reporting needs.",http://www.tk20.com,"Collaboration, Enterprise Software, Skill Assessment, Software","Austin, Texas, United States",Comprehensive assessment solutions,"357,097","429,505","307,701",457.2%,-20.88%,360,3.9,34.92%,18.71%,-19.8%,"202,358","-429,689",-67.98%
AirSet,https://www.crunchbase.com/organization/airset,2003-01-01,year,11-50,"Using AirSet's Web Computers, you can coordinate schedules, share files, host web sites, and access other collaboration tools. Think of them as shared computers on the web -- each can be used for a different group in your life. A mobile version is also available so you can access information and manage your groups right from your mobile phone.",http://www.airset.com,"Cloud Computing, Collaboration, Enterprise Software","Walnut Creek, California, United States","AirSet offers web computers that enable users to coordinate schedules, share files, host websites, and access other collaboration tools.","450,355","1,871",,,,0,1,,100%,,"5,188,905",,
pbwiki,https://www.crunchbase.com/organization/pbwiki-2,2003-01-01,year,1-10,PBwiki is a new hosted free wikispace that enables anyone sign up and create a new wiki.,https://my.pbwiki.com,"Collaboration, Internet, Real Time, Software","San Mateo, California, United States",PBwiki is a new hosted free wikispace that enables anyone sign up and create a new wiki.,"465,317",,,,,,,,,,,,
The Supper Club,https://www.crunchbase.com/organization/the-supper-club,2003-01-01,year,11-50,,https://www.thesupperclub.com/,"Business Development, Collaboration, Professional Networking","London, England, United Kingdom","The Supper Club is a collaborative networking group for CEOs and founders of privately held, high-growth businesses.","472,138",,,,,,,,,,,,
eUnite,https://www.crunchbase.com/organization/eunite,2003-01-01,year,101-250,"eUnite offers collaboration, online learning, and human capital management systems that will help define a business’s success in the coming years. In an age when employees are working from home in droves, long-distance collaboration and constant communication between workers and management have become more challenging. Businesses will grow in these new conditions with the help of eUnite's efficient technological solution. As a primary objective, it offers managers the opportunity to promote communication between teams and departments.",https://www.eunite.com/,"Collaboration, E-Learning, Human Resources, Software","Irvine, California, United States","eUnite offers collaboration, online learning, and human capital management systems.","498,994","350,793","112,565.17",949.59%,39.87%,435,4.73,82.35%,8.08%,-88.74%,"233,338","-851,539",-78.49%
PMOD Technologies,https://www.crunchbase.com/organization/pmod-technologies,2003-01-01,year,,"The PMOD software has origins dating back to 1993, when PET was mainly a research tool. For lack of software, development of quantification tools was started at the University Hospital PET Center in Zurich. Soon, there was an interest in the PET community to adopt the programs. Therefore, in collaboration with engineers from Warsaw University of Technology, the software was brought into industrial-grade quality, and distributed to numerous leading PET sites in the world. Based on their feedback, scope and functionality were improved, resulting in a suite of tools covering the diverse needs of researchers in the field of molecular imaging. Due to the wide adaptation of PMOD in the field, support of the project within the University became difficult. Therefore, PMOD Technologies LLC was founded in 2003 as a spin-off of the Zurich PET Center to further develop and distribute the PMOD software. Since then, the customer base has massively grown, now comprising more than 550 sites with over 1000 active users worldwide. In parallel, functionality has been markedly extended, reaching into the neighboring domains of functional MRI and CT. Vibrant collaborations with various flagship institutions ensure that their PMOD software remains leading-edge. They aim to equip researchers with best-in-class software quantification tools for biomedical imaging in humans and animals, and to back them up in their experimental work by outstanding support and services.",http://www.pmod.com,"Collaboration, Information Technology, Software","Zürich, Zurich, Switzerland",PMOD Technologies has aim to equip researchers with best-in-class software quantification tools for biomedical imaging in humans & animals.,"503,828","3,948","4,482.17",-22.66%,"1,523.53%",0,1.01,-48.85%,99.09%,31.73%,"3,777,766","400,401",11.86%
Gridwise Alliance,https://www.crunchbase.com/organization/gridwise-alliance,2003-01-01,year,1-10,"Gridwise Alliance is an American organization that represents a range of the energy supply chain from utilities to large tech companies to academia to venture capitalists to emerging tech companies. Its stakeholders give the Alliance a diversity of perspectives, which enables interactive dialogue between members. Gridwise Alliance was founded in 2003 and is based in Washington, District of Columbia.",http://gridwise.org/,"Collaboration, Energy, Supply Chain Management","Washington, District of Columbia, United States",Gridwise Alliance is an American organization that represents a range of the energy supply chain from utilities to emerging tech companies.,"517,609","1,478",,,,69,3,,0%,,"6,208,416",,
Work Better,https://www.crunchbase.com/organization/work-better,2003-01-01,day,11-50,,https://workbetter.us/,"Collaboration, Commercial, Real Estate","New York, New York, United States",Work Better is a wide range of smart products and services company located in New York.,"520,525",,,,,,,,,,,,
C Global,https://www.crunchbase.com/organization/c-global-66b4,2003-01-01,year,1-10,,http://cglobal.com/,"Collaboration, Consulting, Human Resources, Management Consulting, Training","New York, New York, United States","C Global is a consulting firm that specializes in leadership coaching, team development, and thought leadership.","582,872",,,,,,,,,,,,
PostPath,https://www.crunchbase.com/organization/postpath,2003-01-01,year,51-100,"PostPath, Inc. develops email and collaboration servers for corporate messaging and collaboration environments. Its products include The PostPath Server, a Linux-based enterprise-email and collaboration server, which provide live and incremental backup and granular restore; PostPath WebMail, which provides AJAX browser-based access to email, calendar, contacts, and collaboration data; PostPath Web Configuration Tool, which provides GUI based and access-controlled administration; and PostPath Remote Office Extensions. The company was founded in 2003 as Apptran Software, Inc. and changed its name to PostPath, Inc. in 2006.  PostPath, Inc. is headquartered in Mountain View, California. As of September 17, 2008, PostPath, Inc. operates as a subsidiary of Cisco Systems, Inc.",http://www.postpath.com,"Collaboration, Enterprise Software, Messaging, Software","Mountain View, California, United States",PostPath develops email and collaboration servers and products for corporate messaging and collaboration environments.,"627,915",,,,,,,,,,,,
