Organization Name	Organization Name URL	Founded Date	Founded Date Precision	Number of Employees	Full Description	Website	Industries	Headquarters Location	Description	CB Rank (Company)	SEMrush - Monthly Visits	SEMrush - Average Visits (6 months)	SEMrush - Monthly Visits Growth	SEMrush - Visit Duration Growth	SEMrush - Visit Duration	SEMrush - Page Views / Visit	SEMrush - Page Views / Visit Growth	SEMrush - Bounce Rate	SEMrush - Bounce Rate Growth	SEMrush - Global Traffic Rank	SEMrush - Monthly Rank Change (#)	SEMrush - Monthly Rank Growth	PP URL
Poyzd	https://www.crunchbase.com/organization/poyzd	2011-01-21	day	1-10	Poyzd is a tool for bringing individuals and organizations together on an internet scale to solve complex, multidimensional problems. Poyzd is a double bottom line business.  It generates revenues and is an instrument of collective impact. Web 2.0 tools are adequate for raising issues and addressing single-dimensional issues.  Their use in tackling more difficult problems is frustrates users with a absence of closure. Facilitated, face-to-face dialogue methods may be the most powerful techniques ever developed for characterizing a problem space, but they are expensive, time intensive, require a trained facilitator, and fail to nimbly respond to changes in the situation.  For over 60 years, these shortfalls have prevented widespread adoption of dialogue techniques. Poyzd adapts and extends the core functions of facilitated dialogue for the web.  The web application substitutes for the trained facilitator.  Users are guided through a six-step process that takes them from establishing a shared vision, identifying metrics and common goals, and planning and tracking actions. Each step is equivalent to the level of an online game.  User/players are awarded points for ideas and collaborative behavior; they are dinged for negative behaviors.  Users are given scores for the expertise they apply to a single problem, and each receives a lifetime problem solver score.  Scores can translate to real-world benefits through enhanced reputations that lead to real-world, compensated assignments.	http://www.poyzd.com	Collaboration, Mobile Apps, Web Apps	Yellow Springs, Ohio, United States	Poyzd brings individuals and organizations together on an internet scale to solve complex, multidimensional problems.	1,148,442													
Listgeeks	https://www.crunchbase.com/organization/listgeeks	2011-01-15	day	1-10	Listgeeks is a social network based around creating, sharing and comparing lists of things. This Listgeeks interface was developed to bring a sense of game-like playfulness to the process of making a list â€“ allowing visitors to quickly drag and drop individual items from pre-existing lists in a colorful and simple-but-stylish environment. Listgeeks transforms list making into an engaging social activity, incorporating sharing, interaction, and community building.	http://listgeeks.com	Collaboration, File Sharing, Social Network	Berlin, Berlin, Germany	Listgeeks is a social network based around creating, sharing and comparing lists of things.	1,218,399													
Mitusis	https://www.crunchbase.com/organization/mitusis	2011-01-15	day	1-10		http://www.mitusis.com	Collaboration, Information Technology, Social Network	Tigard, Oregon, United States	Mitusis offers a platform for businesses to communicate, discuss, and share their ideas securely and privately.	2,199,607													
Shibumi	https://www.crunchbase.com/organization/shibumi	2011-01-01	year	51-100	Shibumi is a cloud-based enterprise application that provides the work management, collaboration, and performance measurement necessary to deliver successful business initiatives and optimize results. The company is focused on what customers need to execute business activity ranging from a single key initiative to an enterprise business improvement program. It reduces the need for time-consuming manual effort compiling status, impact, and results and helps get teams back to their most important job executing. Shibumi helps teams stop spending the majority of their week in meetings and accelerate their actions with a focus on measurable results.  The application is easy to use, intuitive interface, that requires little or no training means that any user can focus on getting work done rather than endless stakeholder reporting. It was founded in 2011 and is headquartered in Norwalk, Connecticut, United States.	http://www.shibumi.com	B2B, Cloud Computing, Collaboration, Enterprise Software	Norwalk, Connecticut, United States	Shibumi is a cloud-based enterprise app providing work management, collaboration, and performance measurement services for businesses.	1,367	2,479	3,607.83	-31.27%	-93.88%	0	1.0	-9.62%	100%	11.92%	4,698,349	808,296	20.78%	
Zoom	https://www.crunchbase.com/organization/zoom-video-communications	2011-01-01	year	5001-10000	Zoom is a software company that offers a communications platform that connects people through video, voice, chat, and content sharing. It has an easy, reliable cloud platform for video and audio conferencing, collaboration, chat, and webinars across mobile devices, desktops, telephones, and room systems.  Zoom unifies cloud video conferencing, simple online meetings, and group messaging into one easy-to-use platform. The company's mission is to create a people-centric cloud service that transforms the real-time collaboration experience and improves the quality and effectiveness of communications. Zoom was founded in 2011 and is headquartered in San Jose, California, United States.	http://zoom.us	Collaboration, Information Technology, Messaging, Video Conferencing	San Jose, California, United States	Zoom is a software company that offers a communications platform that connects people through video, voice, chat, and content sharing.	1,491	562,979,845	480,175,628.83	30.75%	8.21%	896	2.48	0.21%	48.7%	1.8%	115	-51	-30.72%	https://explore.zoom.us/en/privacy/
Beekeeper	https://www.crunchbase.com/organization/beekeeper	2011-01-01	year	101-250	Beekeeper is a mobile-first communication platform that reaches every shift, location, and language through real-time messaging and targeted streams. Managers keep frontline teams productive and turnover low by automating workflows while leveraging an analytics dashboard to measure engagement. Beekeeper integrates with operational systems, making them accessible in one central portal.	http://www.beekeeper.io	Collaboration, Enterprise Software, Messaging, Mobile, Real Time, SaaS, Software, Unified Communications	Zürich, Zurich, Switzerland	Beekeeper is a workplace app that connects the non-desk workforce to operational systems and communication channels.	3,409	619,604	570,148.5	0.8%	12.02%	494	1.69	19.45%	64.71%	-10.49%	155,975	4,670	3.09%	https://www.beekeeper.io/legal-library/privacy-policy/
OPAL	https://www.crunchbase.com/organization/opal	2011-01-01	year	51-100	Opal is a marketing collaboration platform for modern marketing teams. Working in Opal helps teams align on strategy, create campaigns with confidence, streamline the reviews process, improve the facilitation of content, and seamlessly integrate with a team’s preferred distribution method. The Opal Platform tears down silos, reduces complexity, and connects teams across the enterprise for winning results.  It was founded in 2011 and is headquartered in Portland, Oregon.	http://www.workwithopal.com	Brand Marketing, Collaboration, Enterprise Software, Software	Portland, Oregon, United States	Opal is a marketing collaboration platform for modern marketing teams.	5,599	3,805	3,417	2.7%	40.59%	0	1.0	-74.52%	100%	100.2%	3,826,972	-28,915	-0.75%	
Trello	https://www.crunchbase.com/organization/trello	2011-01-01	year	101-250	Trello is a work collaboration tool that makes working on projects as easy as using sticky notes on a whiteboard. Available on phone, tablet, and desktop, Trello's drag-and-drop interface and visual way of organizing tasks ensures that your team always knows what needs to get done and who's working on it. Whether it's the sales pipeline or a new employee training program, Trello is flexible enough to make sure everyone is on top of all of their important projects. Trello is now part of Atlassian, Inc.	http://trello.com	Apps, Collaboration, Project Management, Software, Training	New York, New York, United States	Trello is a visual collaboration tool that provides a shared perspective on any project.	5,865	77,791,917	69,521,436.17	8.06%	4.56%	1,306	1.95	-0.88%	61.06%	1.38%	1,669	-298	-15.15%	https://trello.com/privacy
RelateIQ	https://www.crunchbase.com/organization/relateiq	2011-01-01	year	51-100	Now known as [SalesforceIQ](https://www.crunchbase.com/organization/salesforceiq), RelateIQ, a salesforce.com company, has re-thought customer relationship management from the ground up, building the world's first Relationship Intelligence platform. It automatically captures data on your most important sales prospects, making it easy to collaborate with your teammates to close deals faster. The platform works everywhere you work, whether it's on a mobile app in your pocket or in your email inbox through a browser extension, and advanced data science capabilities mean RelateIQ will provide the insights you need before you even realize you need them. RelateIQ helps our customers drive more revenue and save hours of time, all while making their jobs less work. For more information on how RelateIQ is changing the way the world works, please connect with us on Facebook, LinkedIn, or Twitter.	https://essentials.salesforce.com	Analytics, Artificial Intelligence, Collaboration, Enterprise Software, Marketing, SaaS	Palo Alto, California, United States	RelateIQ offers a relationship intelligence platform that allows teams to track, share and analyze professional relationships.	9,707													
MURAL	https://www.crunchbase.com/organization/mural-ly	2011-01-01	year	501-1000	MURAL is a collaborative intelligence company. We connect teams to unlock their potential, increasing the innovation capacity of the enterprise. MURAL creates a culture of effective collaboration — where everyone is connected, contributing, and empowered to deliver business-driving outcomes.  The MURAL Collaborative Intelligence System™ centers around a digital whiteboard collaboration space, where teams work together in real-time or asynchronously. Consulting, innovation, product, information technology, and executive leadership teams collaborate visually with MURAL, using guided visual methods and Facilitation Superpowers™ features to connect and innovate. Joining forces with the LUMA Institute, MURAL is also transforming how teams work together with a mission to introduce millions to collaboration design. Collaboration design is a new discipline that brings relational intelligence and psychological safety to group interactions — taking aim at isolation and disconnection and helping teams solve problems together with playful, provocative methods of visual thinking. Coming in late 2022, MURAL aims to launch the Collaboration Design Institute™ (CDI). The CDI™ will offer training, curriculum development, certification, research, and consultation for professional collaboration designers.  MURAL is trusted by 95% of the Fortune 100, including innovative teams at IBM, Intuit, Microsoft, GitLab, Steelcase, Thoughtworks, and Atlassian. The San Francisco, California-based company was founded in 2011 by Patricio Jutard, Mariano Suarez-Battan, and Agustin Soler.	https://www.mural.co	B2B, Collaboration, Enterprise Applications, Enterprise Software, Product Design, Product Management, Software, UX Design	San Francisco, California, United States	MURAL is a collaborative intelligence company generating effective ideation, innovation, alignment, and team building.	16,162	2,890,156	2,555,506.17	42.97%	-17.8%	591	1.82	-7.3%	61.41%	6.71%	48,749	-14,107	-22.44%	https://www.mural.co/terms/privacy-policy
ClearStory Data	https://www.crunchbase.com/organization/clearstory-data	2011-01-01	year	51-100	ClearStory Data's solution offers a new way for business users to easily discover, analyze and consume data at scale from corporate, web and premium data sources for combined and up-to-date insights. Data sources include relational databases, Hadoop, Web and social application interfaces, and third-party data providers. ClearStory Data's platform modernizes data analysis by introducing a new user model for big data analysis. The platform simplifies access to disparate data sources, automatically manages data harmonization, and enables interactive analysis at scale. With ClearStory's solution, organizations can easily converge data from corporate and third-party sources to make business decisions faster and across distributed teams in ways never before possible.	http://www.clearstorydata.com/	Analytics, Big Data, Business Intelligence, Collaboration, Enterprise Software, SaaS	Menlo Park, California, United States	ClearStory Data provides solutions enabling business users to discover, analyze and consume data at scale from different data sources.	18,274													
Tresorit	https://www.crunchbase.com/organization/tresorium	2011-01-01	year	101-250	Tresorit is a cloud-based, secure file synchronising software, specifically designed to share confidential data of business users. The software is suitable for making shared directories in a way that the files in the directories are encrypted before uploaded and the encrypted file will get into the cloud. When downloading the file from the cloud it is decryptable only when permitted by the owner. Other users are unable to decode its contents. The special feature of Tresorit is that the encrypted contents are shareable without re-encryption and that sharing is reversible by permission revocation.	https://tresorit.com	Cloud Security, Collaboration, Information Technology, Security, Software	Zürich, Zurich, Switzerland	Tresorit is a cloud-based, secure file synchronizing and collaboration software that enables business users to share confidential data.	18,325	357,110	256,040.17	48.63%	-25.12%	480	1.6	-7.06%	66.16%	4.75%	230,317	-61,988	-21.21%	https://tresorit.com/legal/privacy-policy
OnCorps	https://www.crunchbase.com/organization/oncorps	2011-01-01	year	51-100	OnCorps helps people make better decisions by giving them personalized decision-making tools powered by machine learning and behavioral science algorithms. It develops customized software solutions to streamline financial processes. The platform leverages prominent research in behavioral science to engage users and provide more comprehensive data that will produce better, more actionable decisions. OnCorps serves as a global financial, consulting, and technology firm seeking an edge in decision analytics.	https://www.oncorps.ai	Analytics, Artificial Intelligence, Collaboration, Data Integration, Data Visualization, Enterprise Software, Machine Learning, Predictive Analytics	Boston, Massachusetts, United States	OnCorps is a provider of decision and behavioral science into machine learning nudges to help people make better decisions.	22,090	756	4,320	-73.36%	217.39%	1	1.3	30.42%	69.58%	-30.42%	7,496,204	3,164,106	73.04%	https://www.oncorps.ai/marketing/privacy-notice
InVision	https://www.crunchbase.com/organization/invisionapp	2011-01-01	year	501-1000	Today, more than 9 million people across global enterprises and small teams come to us when they are looking to transform the way they work together. The heart of InVision is Freehand, our online digital whiteboard. Freehand is a collaborative canvas for all the work you do. We designed it to be simple and intuitive, clearing away all the confusing clutter and giving teams the right ingredients to accomplish their specific goals. Teams use Freehand to brainstorm, create, test, and develop new ideas; unify and connect team members across disciplines and distances; and improve workflows, maintain a single source of truth, and more efficiently make actionable decisions. Our platform allows teams to collaborate at any point with stakeholders, giving individuals the visibility and know-how they require to drive work forward. InVision customers include 100% of the Fortune 100, and organizations including American Express, Adidas, Boeing, Ford Motor, Netflix, HBO, Ikea, Slack and Virgin Atlantic.	https://www.invisionapp.com	Apps, Collaboration, Internet, Mobile, Product Design, SaaS, Software, UX Design	New York, New York, United States	InVision is the visual collaboration platform powering the world’s smartest companies.	32,129	39,428,838	16,411,212.83	-9.64%	3.15%	2,879	1.73	-8.96%	65.38%	15.63%	3,934	314	8.67%	https://www.invisionapp.com/legal/privacy-policy
IDMission	https://www.crunchbase.com/organization/idmission	2011-01-01	year	51-100	IDMission is a cloud-based company offering services such as mobility, cloud computing, collaboration, and analytics for its users. It enables the modern enterprise to engage its customers, channels, employees, and agents using user experiences in ways that make sense for each use case while obviating the need for the enterprise core software to change. IDMission was formed with the goal of building a technology platform capable of delivering solutions to legacy problems of customer engagement, including onboarding, identity management, transaction processing, and payments. It delivers comprehensive solutions using smart process apps that encompass onboarding, KYC, workflows, and payments. Then the solutions are deployed on the cloud, so users can access them as they choose, on any smartphone, tablet, laptop, or personal computer. It was formed in 2011 and is headquartered in Louisville, Colorado.	http://idmission.com/	Analytics, Collaboration, Information Technology, SaaS, Software	Boulder, Colorado, United States	IDMission is a cloud-based company offering services such as mobility, cloud computing, collaboration, and analytics for its users.	33,372	24,709	95,334.83	-78.48%	-11.55%	3,086	22.07	-20.18%	50.39%	355.61%	1,351,509	868,546	179.84%	https://www.idmission.com/company/privacy-policy/
Genome Compiler	https://www.crunchbase.com/organization/genome-compiler	2011-01-01	year	11-50	Genome Compiler is a computer aided design and collaboration platforms for the synthetic biology industry. Genome Compiler Corporation provides an integrated intuitive software platform for rapid engineering of biology with its genomic manipulation tools and its optimal design experience. The Genome Compiler CAD tool allows scientists in the biotechnology, agriculture and pharmaceutical industries to design, debug and compile biological code, to develop better bio-based products faster. We strive to make the programming of living things easy and accessible.	http://www.genomecompiler.com/	Biotechnology, CAD, Collaboration, Health Care, Software	Los Altos, California, United States	Genome Compiler is a computer aided design and collaboration platforms for the synthetic biology industry	36,261	2,706		146.45%		118	3.0	200%	50%	-50%	4,521,778	-2,222,130	-32.95%	
Quadrant Biosciences	https://www.crunchbase.com/organization/motion-intelligence-2	2011-01-01	year	1-10	Quadrant Biosciences develop, test, and distribute products with expertise in engineering, production, marketing, and sales. Their advisory board comprises highly regarded medical experts and data scientists. Quadrant Biosciences was led by company founder and CEO Richard Uhlig and is based in Syracuse, New York.	https://www.quadrantbiosciences.com	Biotechnology, Collaboration, Health Care, Health Diagnostics, Medical, Medical Device	Syracuse, New York, United States	Quadrant Biosciences develop, test, and distribute products with expertise in engineering, production, marketing, and sales.	36,593	3,658	2,380.17	3.86%	125%	18	4.5	125%	50%	0%	3,891,044	-48,171	-1.22%	
Ryver	https://www.crunchbase.com/organization/contatta-inc	2011-01-01	year	11-50	The way we work has changed dramatically over the last 20 years. Email hasn’t.  Today, the average worker spends over 25% of their workweek in a bloated inbox trying to force email to do things it was never meant to do: task management, contact management and group collaboration. Ryver collaborative email is the only email built for the way we work today, bringing group collaboration, contact management and task management right into your inbox. The result is less email, fewer meetings and more collaboration. From Pat Sullivan, co-creator of ACT!, and founder of SalesLogix.	https://ryver.com/	Collaboration, Email, Enterprise Software, SaaS, Software	Scottsdale, Arizona, United States	The only collaborative email for business.	42,528	8,686,304	4,586,511.33	28.16%	4.96%	4,212	4.53	7.28%	19.18%	-23.59%	19,378	-4,506	-18.87%	https://ryver.com/privacy-policy/
Kaleo Software	https://www.crunchbase.com/organization/kaleo-software	2011-01-01	year	11-50	Kaleo Software California-based company that automates self-help across the enterprise knowledge in question and answer format. The company drives self-help adoption by automatically providing bite-sized answers to trending questions. It captures and tags information to create an organically growing knowledge base. Users can find information based on input from co-workers and topic experts. Powerful analytics enable users to see what topics are trending and find experts to assist them. Kaleo Software connects employees with subject matter expertise from their organization's internal experts and from within any technology platform anytime, anywhere. The company also integrates into popular business applications like SharePoint, ServiceNow, and Slack to deliver information when and where employees need it. Founded in 2012 and is headquartered in El Segundo, CA, USA.	http://www.kaleosoftware.com	Collaboration, Enterprise Software, Knowledge Management, SaaS, Software	El Segundo, California, United States	Kaleo Software California-based company that automates self-help across the enterprise knowledge in question and answer format.	52,244	9,761	15,672.33	-40.89%	-6.35%	398	1.28	-1.32%	89.21%	11.3%	2,260,583	604,715	36.52%	https://www.kaleosoftware.com/privacy-policy/
Kanbanize	https://www.crunchbase.com/organization/kanbanize	2011-01-01	year	11-50	Kanbanize is the leading Kanban software for agile project and portfolio management. It provides visibility across all projects and portfolios, connects planning with execution, and helps teams deliver faster. Built upon the idea that all processes evolve, Kanbanize can quickly adapt to changes in your organization, regardless of it being a start-up or a fortune 100 enterprise.     Equipped with the most advanced feature set in the industry and a support team that is second to none, Kanbanize is a trusted vendor for more than 1000 companies and 150+ partners worldwide. We help you create a set of connected Kanban workflows that span across multiple teams and departments in the organization. When all work is visualized on flexible Kanban boards, it is easy to detect problems and alleviate bottlenecks. In addition, we provide an automated timeline workflow that connects to the delivery workflows. This way, the status of the plan is always accurate because it is based on the actual status of the work items in the delivery workflows.  Last but not least, through the application of Kanban systems in all delivery workflows, the software collects statistical information about the work that has been finished and with what speed it is being delivered. With this data at hand and the flow metrics in Kanbanize, managers can analyze the workflows and alleviate bottlenecks to improve performance.	https://kanbanize.com/	Collaboration, Information Technology, Project Management, SaaS, Software	Sofia, Grad Sofiya, Bulgaria	A leading Kanban software for agile project and portfolio management, that helps you gain visibility across all projects and portfolios.	54,954	467,762	518,046.33	28.79%	-25.68%	787	1.56	-7.18%	73.37%	-0.54%	190,523	-28,833	-13.14%	https://kanbanize.com/privacy-policy
BoardMaps	https://www.crunchbase.com/organization/dashboard-systems	2011-01-01	year	11-50	BoardMaps is a software solution that digitizes meetings for boards and executive teams. It assists managers in preparing critical issues before meetings and then focuses meetings on decisions, with everyone being on the same page. The software ensures post meeting continuity by allowing triggering subsequent action items and monitoring progress until critical matters are successfully resolved	http://www.boardmaps.com	Collaboration, Enterprise, Information Technology, Project Management, Robotics, Software	Austin, Texas, United States	BoardMaps ensures Board and Executive team alignment before, during and after business meetings.	60,184													
F6S	https://www.crunchbase.com/organization/f6s	2011-01-01	year	11-50	F6S is the world's largest platform for founders. They enable founders to interact with Investors, Accelerators/Incubators, Products/tools, Talent on the platform to grow together . The F6S name comes shortening the six letters between F and S to FOUNDERS.	http://f6s.com	Collaboration, Software	London, England, United Kingdom	F6S is the world's largest platform for founders.	68,297													https://www.f6s.com/privacy-policy
MrOwl	https://www.crunchbase.com/organization/mrowl	2011-01-01	year	1-10	MrOwl is a global technology company focused on innovating the concept and capabilities of cloud storage by creating an entirely new sector for consumers and businesses called Social Cloud Storage, which was designed to enhance communication and productivity while bridging the gap between home and work life.  The MrOwl platform enables users to easily store collections of information including documents, links, and media in an organized, collaborative, searchable, and shareable cloud-based environment. Bringing together the best of search, social, and the cloud all in one app.  It uses AI and machine learning to provide the user with a patient portal that includes trusted, doctor-curated information that is customized for each user and makes their medical information easier to understand.  MrOwl received the 2018 Webby Awards: Honored for iOS app in productivity category and 2017 Best in Biz Awards:  Silver award winner in the entrepreneur/founder of the year category.	https://www.mrowl.com	Apps, Cloud Storage, Collaboration, File Sharing, Internet, Productivity Tools, Search Engine, Social Network	San Francisco, California, United States	MrOwl is a social cloud storage platform that brings together the best of search, social, and the cloud all in one app.	76,464	21,017	43,092.83	-71.01%	-90.73%	19	2.06	31.6%	61.97%	0.26%	1,476,980	819,897	124.78%	https://www.mrowl.com/privacyPolicy.jsp
Cureo	https://www.crunchbase.com/organization/optixconnect	2011-01-01	year	11-50	Cureo is a web-based collaboration platform purpose-built for nonprofit organizations. The platform allows internal team members to curate and orchestrate collaborations and communications internally AND with all of their external board members, committee members, donors, volunteers, clients, and community partners. This is ideal for teams struggling to get organized and more efficient in this world of app overload and email purgatory. What's unique about Cureo is that its architecture reflects the reality of collaboration in the nonprofit sector and in civic community interactions such as multi-entity task forces working to improve lives and solve critical social problems.  The reality is that the vast majority of collaborators are not captive employees of the organizations they contribute to as board members, donors, volunteers, etc. and must interact via multiple channels including email without ever having to log into portal software. Used by some of the most recognized global non-profit entities, Cureo is secure, super easy to use, mobile-friendly and accessible from anywhere.	http://cureo.com	Collaboration, File Sharing, Meeting Software, SaaS, Social Media, Software	Wooster, Ohio, United States	Cureo helps non-profits and community organizations better manage boards, committees and community task forces.	81,856	15,938	470,627.83	-84.07%	162.79%	0	1.0	-2.94%	100%	1.53%	1,720,140	1,190,881	225.01%	https://www.cureo.com/gdpr-policy
Valuechain.com	https://www.crunchbase.com/organization/valuechain-com	2011-01-01	year	11-50	Valuechain.com enables global manufacturing customers, suppliers and partners to connect, collaborate and increase competitiveness. They  engage with every tier and commodity within complex manufacturing supply chains and generate tangible benefits through our innovative collaboration, business improvement and enterprise solutions.	http://www.valuechain.com/	Business Intelligence, Collaboration, Enterprise Software, Information Technology, Manufacturing, Software, Supply Chain Management	Preston, Lancashire, United Kingdom	Valuechain.com enables global manufacturing customers, suppliers and partners to connect, collaborate and increase competitiveness.	89,379	34,352	6,701.83	1,116.43%	73.58%	1,288	6.58	100.16%	50%	16.66%	1,093,286	-3,247,096	-74.81%	https://www.valuechain.com/privacy-policy/
Hubgets	https://www.crunchbase.com/organization/hubgets	2011-01-01	year	51-100	Hubgets is a business instant communication platform, available as a service or in your private cloud. It enables people to communicate via chat with file and screen sharing, voice and video, turning experience into searchable knowledge. We use artificial intelligence to measure people's mood at work. Based on the Happiness Index we compute, Hubgets adjusts communication flows on the individual level to reduce frustration and make the team more productive. Page by Hubgets is a web business card available for each Hubgets user. Contacting the card owner is as simple as browsing the web - chat, voice and video instant communication is available for free, in the browser. Hubgets is a spin-off from 4PSA, the company that enables service providers deliver cloud services - automation, enterprise PBX, voice, video, instant messaging, and mobility.	https://www.hubgets.com	Artificial Intelligence, Collaboration, Enterprise Software, Information Technology, Messaging, Productivity Tools, SaaS, Software, Unified Communications, Video	Bucarest, Bucuresti, Romania	Instant communication & collaboration that makes your business more profitable. Boost your team's productivity now!	106,778	20,424	24,538.83	110.99%	170.73%	222	1.18	-8.99%	86.21%	9.57%	1,499,562	-719,004	-32.41%	https://www.hubgets.com/company/privacy-policy
WeVideo	https://www.crunchbase.com/organization/wevideo	2011-01-01	year	11-50	WeVideo is a unique cloud-based collaborative video editing service that helps people from all over the world simply create and share great-looking videos. The WeVideo editor is easy enough for first-time editors, and sophisticated enough to help anyone create a professional-looking video. WeVideo works through any browser and as an integrated video editor within YouTube and Google Drive. The company's headquarters are in Palo Alto, California and its services are based on technologies that originated in Scandinavia. WeVideo is a cloud-based solution with no software to download or install. All video editing takes place in a browser on your smartphone. Video clips can be uploaded from any device to your own personal media library in the cloud and combined with titles, transitions, effects, animation, music, and narration for professional-looking results. Users have full creative control over the final product compared to other automated solutions. The WeVideo platform uniquely enables social video creation by providing a collaborative online environment for video content aggregation and/or joint editing of the video story. All data uploaded to the system is safe from intrusion via highly encrypted password access, allowing you to control who is part of your video editing community. Finished videos can be shared on the WeVideo platform or published in Internet or HD broadcast quality to your favorite video-sharing site, social networking profile, blog, or other destination.	http://www.wevideo.com	Cloud Computing, Collaboration, Enterprise Software, Music, Software, Video, Video Editing	Menlo Park, California, United States	WeVideo is a powerful, yet easy-to-use, cloud-based collaborative video creation platform.	118,508	1,549,353	1,591,231.17	89.19%	17.89%	547	2.11	8.21%	53.72%	-4.84%	79,063	-43,721	-35.61%	https://www.wevideo.com/privacy
FindMySong	https://www.crunchbase.com/organization/findmysong	2011-01-01	year	1-10	FindMySong brings musicians from all over the world closer together. Guided by the belief that musicians deserve better technology to help them achieve success, FindMySong focuses on clarity, simplicity, and quality to provide the best online collaborative platform for music in the world.  FindMySong is hand-crafted by musicians in Los Angeles to help musicians network, collaborate on projects, work safely with simple contracts, share files, and reach success in the music business. It’s a strong, supportive community online built by musicians, for musicians. Created by Vincent Fong & Thomas Honeyman in Los Angeles.	http://www.findmysong.com	Collaboration, Music, Music Streaming	Los Angeles, California, United States	FindMySong is an online collaborative platform for musicians to network, collaborate on projects, and share files.	127,838													
ArtPlace America	https://www.crunchbase.com/organization/artplace-america	2011-01-01	year	11-50	ArtPlace America (ArtPlace) advances the field of creative placemaking, in which art and culture plays an explicit and central role in shaping communities’ social, physical, and economic futures. To date, ArtPlace has awarded $56.8 million through 189 grants to projects serving 122 communities across 42 states and the District of Columbia.ArtPlace is a collaboration among the Barr Foundation, Bloomberg Philanthropies, The Ford Foundation, The James Irvine Foundation, The John S. and James L. Knight Foundation, The Kresge Foundation, The McKnight Foundation, The Andrew W. Mellon Foundation, The William Penn Foundation, Rasmuson Foundation, The Rockefeller Foundation, The Surdna Foundation, and two anonymous donors.	http://www.artplaceamerica.org/	Collaboration, Education, Non Profit	Brooklyn, New York, United States	ArtPlace America (ArtPlace) is a ten-year collaboration among a number of foundations, federal agencies, and financial institutions.	128,958	4,347	2,859.83	154.36%	-92.42%	211	2.0	100%	33.33%	-66.67%	3,642,322	-1,604,037	-30.57%	
Prometheon Pharma	https://www.crunchbase.com/organization/prometheon-pharma	2011-01-01	year	1-10	Platform biotech from University of Florida with needle-free transdermal patch delivery of large molecules. So far insulin, IGF-1, and hGH- 100x bigger than nicotine molecules delivered successfully to boost patient compliance and access. Initial $20B/year market with industry collaboration model that generates revenue before product launch.	http://prometheonpharma.com	Biotechnology, Collaboration, Health Care	Alachua, Florida, United States	NoPricks: Needle-free insulin patches, new hair growth product, potential vaccine patches.	130,485													
Ampersand & Ampersand	https://www.crunchbase.com/organization/ampersand-ampersand	2011-01-01	day	11-50	Ampersand & Ampersand is a multi-award winning social impact business, focused on digital R&D in health and life sciences. Key clients include the NHS, high growth medtech businesses and top 20 pharma companies. Recently ranked #1 globally in mHealth R&D, Ampersand promotes multi-stakeholder co-creation as the most effective way to ensure the clinical relevance and patient adoption of new digital services. The company's offering spans concept development, architecture, service/user experience design, data management, creative services and software development; and relies on deep domain knowledge and a strong network of experts and influencers in AI, blockchain and other emerging technologies to stay ahead of the curve.	https://3amp.co	Collaboration, Health Care, Internet of Things, Life Science, mHealth, Mobile, Software	London, England, United Kingdom	Ampersand & Ampersand is a multi-award winning co-creation firm, focused on health and life sciences.	130,509													
Optimy	https://www.crunchbase.com/organization/optimy	2011-01-01	year	11-50	Optimy’s core business is our unique software, created for sponsorship and grant management professionals. We are working hard to become a leader in this niche market by combining the best technology with the highest quality of Customer Experience. Optimy is not a fixed package, you just pick and pay for what you really need. Optimy can be used to cover one or more of the following processes: REQUEST MANAGEMENT Unsorted pile of requests? Streamline the flow of incoming requests, ensuring a systematic and personalised response to each. PROJECT MANAGEMENT Need for a prompt kick-start? Manage and collaborate on all ongoing projects: launch projects, assign tasks, share documents, etc. All from one single place. ASSESSMENT An insight on results? Based on your KPIs, automatically score and rank the performance of your new, ongoing or past projects. AUDIT & COMPLIANCE Is your effort worth? Let’s check! Easily get an overall view of your activities at a group level and collect key data to generate reports and graphs. We don’t cut our costs to compete, we simply operate an efficient model: our economies of scale and the growing number of our users combined with a customer retention over 98%, enables us to offer a cost-efficient pricing model. In only six years, more than 230 organisations worldwide have chosen Optimy solution and continue to use it through the years.	https://www.optimy.com	Collaboration, Enterprise Software, Information Technology, Non Profit, SaaS, Software	Brussels, Brussels Hoofdstedelijk Gewest, Belgium	Optimy is the customer-oriented sponsorship and grant management software trusted by more than 230 organizations worldwide.	141,245	64,167	12,694.5	3,819.79%	-92.66%	13	1.6	4.79%	70.04%	-15.61%	735,967	-4,956,032	-87.07%	https://www.optimy.com/en/company/privacy
The Speak Easy	https://www.crunchbase.com/organization/the-speak-easy	2011-01-01	year	11-50	The Speak Easy is a place for Indianapolis-based entrepreneurs, startups, and the folks who support them to work, play, and collaborate. It's essentially a clubhouse for entrepreneurs, designers, and geeks. They believe that bringing these folks together in a fun, productive work environment is the surest way to accelerate the development and launch of high-growth startups in Central Indiana.	http://www.speakeasyindy.com/	Collaboration, Coworking, Social Entrepreneurship	Indianapolis, Indiana, United States	The Speak Easy is a place for Indianapolis-based entrepreneurs, startups, and the folks who support them to work, play, and collaborate.	153,284													
